"","X.1","X","EDCS.ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating"
"505",2813,2813,"EDCS-32300058","CIL 03, 14322,02 = Liburnia 00057","Dalmatia","Nin / Aenona",1,300,1,300,"tituli sacri;  tria nomina;  viri","P(ublius) M() S() S(ilvano) v(otum) s(olvit) l(ibens) m(erito)","P M S S v s l m","Publius M S Silvano votum solvit libens merito","lapis",NA,44.2430736,15.1840255,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14322-02.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060344;lu_24308",NA,NA,"1 to 300"
"506",2814,2814,"EDCS-32300059","CIL 03, 14322,03 = Liburnia 00058","Dalmatia","Nin / Aenona",1,150,1,150,"tituli sacri;  viri","] / Curtic(us?) / Ser(gia) [3] / [6] / v(otum) s(olvit) l(ibens) [m(erito)]","Curtic Ser v s l","Curticus Sergia votum solvit libens merito",NA,NA,44.2430736,15.1840255,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060345",NA,NA,"1 to 150"
"507",2835,2835,"EDCS-32300099","CIL 03, 14336,8","Dalmatia","Nin / Aenona",NA,NA,NA,NA,"Augusti/Augustae;  tituli sacri","Victoriae Augustor(um) fel(iciter) / v(otis?) p(ublicis?)","Victoriae Augustor fel v p","Victoriae Augustorum feliciter votis publicis",NA,NA,44.2430736,15.1840255,NA,NA,NA,NA,NA,NA
"508",2846,2846,"EDCS-15700109","Liburnia 00051 = AE 1940, 00006","Dalmatia","Nin / Aenona",1,150,1,150,"mulieres;  tituli sacri;  tria nomina;  viri","Veneri Ansotic(ae) / sacrum / Baebia C(ai) f(ilia) Maximil/la ex testament(o) / L(uci) Corneli Bassi fecit","Veneri Ansotic sacrum Baebia C f Maximilla ex testament L Corneli Bassi fecit","Veneri Ansoticae sacrum Baebia Cai filia Maximilla ex testamento Luci Corneli Bassi fecit","lapis",NA,44.2430736,15.1840255,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_AE_1940_00006_1.jpg;$M_AE_1940_00006.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020721;1ae1940-07;lu_32857",NA,NA,"1 to 150"
"509",2848,2848,"EDCS-66600373","Lupa 24257","Dalmatia","Nin / Aenona",NA,NA,NA,NA,"Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri","Druso Cae/sari German(ici) / Caesaris f(ilio) Ti(beri) / Caesaris n(epoti) / divi Aug(usti) pron(epoti)/ [","Druso Caesari German Caesaris f Ti Caesaris n divi Aug pron","Druso Caesari Germanici Caesaris filio Tiberi Caesaris nepoti divi Augusti pronepoti","lapis",NA,44.2430736,15.1840255,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_Lupa_24257_1.jpg;$M_Lupa_24257_2.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_24257",NA,NA,NA
"510",2850,2850,"EDCS-15900045","NSA-1936-481 = Liburnia 00050 = AE 1938, 00031","Dalmatia","Nin / Aenona",1,150,1,150,"liberti/libertae;  tituli sacri;  tria nomina;  viri","T(itus) Appuleius T(iti) L(uci) l(ibertus) Anti<g=C>onius(!) / Anzoticae / v(otum) s(olvit)","T Appuleius T L l AntiConius Anzoticae v s","Titus Appuleius Titi Luci libertus Antigonius Anzoticae votum solvit","lapis",NA,44.2430736,15.1840255,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021960;lu_24147;1ae1938-12;1ae1938-13",NA,NA,"1 to 150"
"511",2853,2853,"EDCS-71300208","AE 2014, 01015","Dalmatia","Nisko",201,300,201,300,"tituli sacri;  viri","Fel]icis//simus Sc/araban/tia votu/m l<i=T>bens / posui<t=E>","Felicissimus Scarabantia votum lTbens posuiE","Felicissimus Scarabantia votum libens posuit",NA,NA,43.6639277,16.3717521,NA,NA,NA,NA,NA,"201 to 300"
"512",2860,2860,"EDCS-10000337","ILJug-01, 00260 = Liburnia 00046 = BonaDea 00127 = AE 1949, +00199 = AE 1964, 00270","Dalmatia","Novalja",1,100,1,100,"mulieres;  nomen singulare;  praenomen et nomen;  tituli sacri;  viri","B(onae) D(eae) Dom(inae) Heiae A[ug(ustae)] / Triumphali Terrae / Marisq(ue) Dominatric[i] / Conservatrici / Mentiumque Bo[n]arum / ac Remediorum Potenti / Deae Bene Iudicanti / [C]alpurnia L(uci) Pisonis aug(uris) f(ilia) / Cn(aei) Pisonis neptis / d(onum) d(edit)","B D Dom Heiae A Triumphali Terrae Marisq Dominatric Conservatrici Mentium que Boarum ac Remediorum Potenti Deae Bene Iudicanti alpurnia L Pisonis aug f Cn Pisonis neptis d d","Bonae Deae Dominae Heiae Augustae Triumphali Terrae Maris que Dominatrici Conservatrici Mentium que Bonarum ac Remediorum Potenti Deae Bene Iudicanti Calpurnia Luci Pisonis auguris filia Cnaei Pisonis neptis donum dedit",NA,NA,44.5561174,14.884472,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD016279;1ae1949-61",NA,NA,"1 to 100"
"513",2875,2875,"EDCS-75700058","Lupa 23786","Dalmatia","Novi Grad",NA,NA,NA,NA,"tituli sacri","I(ovi) O(ptimo) M(aximo) / NORSA / [1]STA[","I O M NORSA STA","Iovi Optimo Maximo NORSA STA","lapis",NA,45.0492984,16.3760681,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23786",NA,NA,NA
"514",2878,2878,"EDCS-30301486","CIL 03, 09972","Dalmatia","Obrovac / Clambetae",14,37,14,37,"Augusti/Augustae;  mulieres;  ordo decurionum;  ordo senatorius;  tituli honorarii;  tituli sacri;  tria nomina;  viri","Iuliae August(ae) divi / Augusti matri Ti(beri) Cae/saris Aug(usti) L(ucio) Volusio / Saturnino leg(ato) pro pr(aetore) / C(aius) Iulius C(ai) f(ilius) Sulla ob dec(urionatum)","Iuliae August divi Augusti matri Ti Caesaris Aug L Volusio Saturnino leg pro pr C Iulius C f Sulla ob dec","Iuliae Augustae divi Augusti matri Tiberi Caesaris Augusti Lucio Volusio Saturnino legato pro praetore Caius Iulius Cai filius Sulla ob decurionatum","lapis",NA,44.2001974,15.6813098,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_09972_1.jpg;$PF_CIL_03_09972.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053589",NA,NA,"14 to 37"
"515",2879,2879,"EDCS-32300056","CIL 03, 14322 = Horster p 394","Dalmatia","Obrovac / Clambetae",34,35,34,35,"Augusti/Augustae;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri","Ti(berius) Caesar / divi Aug(usti) f(ilius) / Augustus / imp(erator) pontif(ex) max(imus) trib(unicia) / pot(estate) XXXVI ded(icavit) / L(ucio) Volusio Saturnin(o) / leg(ato) pro pr(aetore)","Ti Caesar divi Aug f Augustus imp pontif max trib pot XXXVI ded L Volusio Saturnin leg pro pr","Tiberius Caesar divi Augusti filius Augustus imperator pontifex maximus tribunicia potestate XXXVI dedicavit Lucio Volusio Saturnino legato pro praetore",NA,NA,44.2001974,15.6813098,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$JL_EDCS-32300056.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053583;lu_24132",NA,NA,"34 to 35"
"516",2888,2888,"EDCS-13302687","ILJug-01, 00085 = AHB p 262 = AE 1959, 00142","Dalmatia","Ocrkavlje / Municipium Splonistarum",201,300,201,300,"liberti/libertae;  nomen singulare;  tituli sacri;  viri","I(ovi) O(ptimo) M(aximo) C(onservatori?) / Graecus / qui et For/tunatus Ma/[r]ci liber(tus) l(ibens) p(osuit)","I O M C Graecus qui et Fortunatus Maci liber l p","Iovi Optimo Maximo Conservatori Graecus qui et Fortunatus Marci libertus libens posuit","lapis",NA,43.5142306,18.6223041,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-01_00085.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019315;lu_23383",NA,NA,"201 to 300"
"517",2895,2895,"EDCS-03000738","AE 1992, 01373a = AE 1996, 01206a = AE 2012, +01088","Dalmatia","Omis / Almissa / Oneum / Onaeum",14,50,14,50,"tituli sacri","[Div]o Aug(usto) et [Rom(ae)] / sacru[m]","o Aug et sacru","Divo Augusto et Romae sacrum",NA,NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039963",NA,NA,"14 to 50"
"518",2896,2896,"EDCS-03000739","AE 1992, 01373b = AE 1996, 01206b","Dalmatia","Omis / Almissa / Oneum / Onaeum",14,50,14,50,"mulieres;  tituli operum;  tituli sacri","[Ara]m Genio [l]/[oc(i)] / Augustam / [3]llica Vol/[","m Genio Augustam llica Vol","Aram Genio loci Augustam llica Vol",NA,NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039963",NA,NA,"14 to 50"
"519",2897,2897,"EDCS-27500185","CIL 03, 01904 (p 1499)","Dalmatia","Omis / Almissa / Oneum / Onaeum",171,300,171,300,"tituli operum;  tituli sacri;  tria nomina;  viri","Aurelius / Nigrinus / Herc(uli) Aug(usto) / crater(am) f(ecit)","Aurelius Nigrinus Herc Aug crater f","Aurelius Nigrinus Herculi Augusto crateram fecit",NA,NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053678",NA,NA,"171 to 300"
"520",2905,2905,"EDCS-10100918","ILJug-03, 01980a","Dalmatia","Omis / Almissa / Oneum / Onaeum",1,300,1,300,"tituli sacri","I(ovi) O(ptimo) [M(aximo)","I O M","Iovi Optimo Maximo",NA,NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034312",NA,NA,"1 to 300"
"521",2922,2922,"EDCS-10100938","ILJug-03, 01986","Dalmatia","Omis / Almissa / Oneum / Onaeum",1,300,1,300,"tituli sacri","]o Aug(usto) et [3] / sacru[m","o Aug et sacrum","o Augusto et sacrum","lapis",NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034321",NA,NA,"1 to 300"
"522",2924,2924,"EDCS-10100940","ILJug-03, 01988 = AE 1922, 00040 = AE 2012, +01088","Dalmatia","Omis / Almissa / Oneum / Onaeum",33,33,33,33,"Augusti/Augustae;  sacerdotes pagani;  tituli operum;  tituli sacri;  viri","[Imp(eratori) Tiberio Cae]sari div[i] / [Aug(usti)] f(ilio) divi Iuli [nep(oti)] / [Augu]sto ponti[fici] / [maximo] co(n)s(uli) V imp(eratori) VI[II] / [trib(unicia)] pot(estate) XXXV au[guri] / [XVvir]o sacris fa[ciundis] / [VIIviro] epul[onum","sari div f divi Iuli sto ponti cos V imp VI pot XXXV au o sacris fa epulonum","Imperatori Tiberio Caesari divi Augusti filio divi Iuli nepoti Augusto pontifici maximo consuli V imperatori VIII tribunicia potestate XXXV auguri XV viro sacris faciundis VII viro epulonum",NA,NA,43.4447124,16.6913309,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug_03_01988.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025111;1ae1922-11;1ae1922-12",NA,NA,"33 to 33"
"523",2934,2934,"EDCS-10100950","ILJug-03, 01997 = CCCA-06, 00168 = Afrique p 783 = AE 1925, 00061 = AE 1929, +00170 = AE 1994, +01348","Dalmatia","Omis / Almissa / Oneum / Onaeum",1,300,1,300,"tituli operum;  tituli sacri","M(atri) M(agnae) / Cognatio(nis) / fanum d(e) s(ua) v(ota) / ampliavit","M M Cognatio fanum d s v ampliavit","Matri Magnae Cognationis fanum de sua vota ampliavit","lapis",NA,43.4447124,16.6913309,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_AE_1925_00061.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025726;1ae1925-11;1ae1929-46",NA,NA,"1 to 300"
"524",2935,2935,"EDCS-10100951","ILJug-03, 01998","Dalmatia","Omis / Almissa / Oneum / Onaeum",1,300,1,300,"tituli sacri;  viri","]atius V[","atius V","atius V",NA,NA,43.4447124,16.6913309,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034322",NA,NA,"1 to 300"
"525",2937,2937,"EDCS-72700158","PIAZ-2015-115 = AE 2015, 01086 = EpRom 2015_31_006","Dalmatia","Omisalj / Fulfinum",101,200,101,200,"ordo decurionum;  tituli sacri;  viri","] / IIvir P[3] / Vener[is 3] / Q[3]M Iovis et / [3]s idem","II vir P Vener Q M Iovis et s idem","II vir P Veneris Q M Iovis et s idem",NA,NA,45.2120215,14.5575259,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_16187",NA,NA,"101 to 200"
"526",2938,2938,"EDCS-57100085","VAMZ-1974-47","Dalmatia","Omisalj / Fulfinum",92,92,92,92,"Augusti/Augustae;  litterae erasae;  milites;  tituli operum;  tituli sacri;  viri","[I]mp(erator) Caesar divi f[[[il(ius) Domitia]]]/[[[nus]]] Aug[ustus] p(ontifex) m(aximus) tribuniciae / [p]otestatis [[[XIIII(?)]]] imp(erator) [[[XXII(?)]]] consul [[[XVI(?)]]] / censor perp(etuus) p(ater) p(atriae) / aquam Flaviam Augustam novis / fontibus collectis Flavio Fulfi/no induxit L(ucius) Sestius Dexter / veteranus coh(ortis) III praetoriae / de sua pecunia faciundum cu/ravit","mp Caesar divi f Aug p m tribuniciae otestatis imp consul censor perp p p aquam Flaviam Augustam novis fontibus collectis Flavio Fulfino induxit L Sestius Dexter veteranus coh III praetoriae de sua pecunia faciundum curavit","Imperator Caesar divi filius Domitianus Augustus pontifex maximus tribuniciae potestatis XIIII imperator XXII consul XVI censor perpetuus pater patriae aquam Flaviam Augustam novis fontibus collectis Flavio Fulfino induxit Lucius Sestius Dexter veteranus cohortis III praetoriae de sua pecunia faciundum curavit","lapis",NA,45.2120215,14.5575259,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057403",NA,NA,"92 to 92"
"527",2946,2946,"EDCS-28400390","CIL 03, 03136 = Liburnia 00041","Dalmatia","Osor / Opsorus",1,150,1,150,"mulieres;  tituli sacri;  tria nomina","Artifici/bus Miner(vae) / Babullia / Sex(ti) f(ilia) Maxi/[m]a v(otum) s(olvit)","Artificibus Miner Babullia Sex f Maxia v s","Artificibus Minervae Babullia Sexti filia Maxima votum solvit",NA,NA,44.6935722,14.3927571,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062324",NA,NA,"1 to 150"
"528",2956,2956,"EDCS-28400400","CIL 03, 03146 = CLE 01160","Dalmatia","Osor / Opsorus",1,300,1,300,"carmina;  mulieres;  nomen singulare;  tituli sacri;  tituli sepulcrales;  viri","Felix haec visa est nascendi lege puella / quo<t=I> non est miseros tum sortita Lares / sed legem fatis Parcae dixere cruentam / primus natalis condat ut ossa sua / cognomen pater huic fuerat natale daturus / abstulit atra dies una cum corpore nomen","Felix haec visa est nascendi lege puella quoI non est miseros tum sortita Lares sed legem fatis Parcae dixere cruentam primus natalis condat ut ossa sua cognomen pater huic fuerat natale daturus abstulit atra dies una cum corpore nomen","Felix haec visa est nascendi lege puella quot non est miseros tum sortita Lares sed legem fatis Parcae dixere cruentam primus natalis condat ut ossa sua cognomen pater huic fuerat natale daturus abstulit atra dies una cum corpore nomen",NA,NA,44.6935722,14.3927571,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062319;m|ce|1160",NA,NA,"1 to 300"
"529",2989,2989,"EDCS-30400606","CIL 03, 10050 (p 2328,175) = CBI 00493","Dalmatia","Otocac / Ottoschatz / Avendo",151,300,151,300,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Iul(ius) Sexti/lius b(eneficiarius) co(n)s(ularis) / <e=L>x leg(ione) XIIII / Gem(ina) / v(otum) s(olvit) l(ibens) m(erito)","I O M Iul Sextilius b cos Lx leg XIIII Gem v s l m","Iovi Optimo Maximo Iulius Sextilius beneficiarius consularis ex legione XIIII Gemina votum solvit libens merito",NA,NA,44.8688525,15.2356029,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00493.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055277;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=10050",NA,NA,"151 to 300"
"530",2993,2993,"EDCS-28400367","CIL 03, 03113 = Liburnia 00047","Dalmatia","Pag",14,37,14,37,"Augusti/Augustae;  tituli sacri;  tria nomina;  viri","Divo Aug(usto) / sacr(um) / L(ucius) Quinctius C(ai) f(ilius) / Gallus testamento / poni iussit","Divo Aug sacr L Quinctius C f Gallus testamento poni iussit","Divo Augusto sacrum Lucius Quinctius Cai filius Gallus testamento poni iussit",NA,NA,44.4447881,15.0568809,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062325",NA,NA,"14 to 37"
"531",3024,3024,"EDCS-59500042","AE 2010, 01227 = Podrug-2008, 00110","Dalmatia","Planicnik",171,300,171,300,"tituli sacri","Libero / P(atri?)","Libero P","Libero Patri","lapis",NA,43.9426532,15.8414268,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Podrug-2008_00110.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072480",NA,NA,"171 to 300"
"532",3030,3030,"EDCS-08500508","AHB p 266 = CILGM 00245 = AE 1983, 00750","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",151,300,151,300,"tituli sacri;  tria nomina;  viri","Herculi / s(acrum) Cornif/icius Ve/rus l(ibens) v(oto) p(osuit)","Herculi s Cornificius Verus l v p","Herculi sacrum Cornificius Verus libens voto posuit",NA,NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00245.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD000325",NA,NA,"151 to 300"
"533",3039,3039,"EDCS-30600122","CIL 03, 06339 (p 2255) = CIL 03, 08300 = CILGM 00294","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",1,300,1,300,"tituli sacri","I(ovi) O(ptimo) M(aximo)","I O M","Iovi Optimo Maximo","lapis",NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059842",NA,NA,"1 to 300"
"534",3040,3040,"EDCS-30600123","CIL 03, 06340 = CIL 03, 08303 = CILGM 00296","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",161,300,161,300,"Augusti/Augustae;  tituli sacri;  viri","I(ovi) O(ptimo) M(aximo) / Advento et / pro salute et v(i)c/(to)rias(!) Impp(eratorum) / Augg(ustorum) populus / p(osuit?)","I O M Advento et pro salute et vcrias Impp Augg populus p","Iovi Optimo Maximo Advento et pro salute et victorias Impperatorum Auggustorum populus posuit",NA,NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062110;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=8303",NA,NA,"161 to 300"
"535",3041,3041,"EDCS-30600124","CIL 03, 06341 (p 2255) = CIL 03, 08301 = AHB p 274 = CILGM 00295","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",151,300,151,300,"ordo decurionum;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Aemil(ius) Ti/tianus IIvi<r=M> / q(uin)q(uennalis) l(ibens) p(osuit)","I O M Aemil Titianus II viM qq l p","Iovi Optimo Maximo Aemilius Titianus II vir quinquennalis libens posuit","lapis",NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057703;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=8301",NA,NA,"151 to 300"
"536",3042,3042,"EDCS-30600125","CIL 03, 06342 = CIL 03, 08304 = ILJug-03, 01699 = AHB p 274 = CILGM 00297","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",1,300,1,300,"ordo decurionum;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(a)x(imo) F(ulguratori) / M(arcus) Aemil(ius) / Antonius / IIvir / l(ibens) p(osuit)","I O Mx F M Aemil Antonius II vir l p","Iovi Optimo Maximo Fulguratori Marcus Aemilius Antonius II vir libens posuit","lapis",NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00297.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058989",NA,NA,"1 to 300"
"537",3058,3058,"EDCS-31200894","CIL 03, 08299 = CILGM 00293","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",1,300,1,300,"tituli sacri;  tria nomina;  viri","I(ovi) C(o)ho(rtali) / s(acrum) / M(arcus) Aemil(ius) / Antonius / v(oto) l(ibens) p(osuit)","I Cho s M Aemil Antonius v l p","Iovi Cohortali sacrum Marcus Aemilius Antonius voto libens posuit","lapis",NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059845;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=8299",NA,NA,"1 to 300"
"538",3059,3059,"EDCS-30800056","CIL 03, 08305 = ILJug-03, 01733 = CILGM 00246 = CILGM 00299","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",101,300,101,300,"tituli sacri","S(ilvano) A(ugusto) s(acrum?)","S A s","Silvano Augusto sacrum",NA,NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00246_1.jpg;$CILGM_00246_2.jpg;$CILGM_00299.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062089",NA,NA,"101 to 300"
"539",3060,3060,"EDCS-30800057","CIL 03, 08306 (p 2255) = ILJug-03, 01700 = CILGM 00242","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",1,300,1,300,"tituli sacri;  tria nomina;  viri","Silvano / Aug(usto) sac(rum) / M(arcus) Aemiliu[s] / Anto[nius] / v(otum) s(olvit) l(ibens) m(erito)","Silvano Aug sac M Aemiliu Anto v s l m","Silvano Augusto sacrum Marcus Aemilius Antonius votum solvit libens merito","lapis",NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00242.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058983",NA,NA,"1 to 300"
"540",3065,3065,"EDCS-30800059","CIL 03, 08322 = ILJug-03, 01734 = AHB p 273 = CILGM 00300","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",101,300,101,300,"tituli sacri;  viri","]/ OL[3] / Cambrianus / l(ibens) p(osuit)","OL Cambrianus l p","OL Cambrianus libens posuit",NA,NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00300.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034016",NA,NA,"101 to 300"
"541",3071,3071,"EDCS-29900015","CIL 03, 12715 = ILJug-03, 01701 = CIMRM-02, 01886 = AHB p 271 = CILGM 00243 = Gavrilovic-2021, p 244,2","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",201,250,201,250,"tituli sacri;  tria nomina;  viri","Soli In/victo sac(rum) / Sext(us) Babe/rius {CS} Ianu/[ar(ius)] vot(um) p(osuit)","Soli Invicto sac Sext Baberius CS Ianu vot p","Soli Invicto sacrum Sextus Baberius Ianuarius votum posuit","lapis",NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00243.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034000",NA,NA,"201 to 250"
"542",3073,3073,"EDCS-31400189","CIL 03, 12724","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",238,244,238,244,"Augusti/Augustae;  ordo equester;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / et Genio loc[i] / pro salute I[mp(eratoris)] / M(arci) A[nton(ini) G]o[r]/diani Pii Fel(icis) / Aug(usti) n[3]m[2]/[1]a[2]tus v(ir) e(gregius) / proc(urator) eius / [de]v[otus","I O M et Genio loc pro salute I M Aodiani Pii Fel Aug n matus v e proc eius votus","Iovi Optimo Maximo et Genio loci pro salute Imperatoris Marci Antonini Gordiani Pii Felicis Augusti n m atus vir egregius procurator eius devotus","lapis",NA,43.3565611,19.3584715,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_12724_1.jpg;$CIL_03_12724_2.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052470;Qepsg.718;lu_23686",NA,NA,"238 to 244"
"543",3077,3077,"EDCS-31900226","CIL 03, 13847 = CBI 00460 = AHB p 275 = CILGM 00298","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",194,194,194,194,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) s(acrum) / P(ublius) Ael(ius) Fusci/nus mil(es) leg(ionis) / I Ad(iutricis) b(ene)f(iciarius) co(n)s(ularis) / Imp(eratore) L(ucio) Sept(imio) Severo / Pert(inaci) Aug(usto) et Albi(no) Caes(are) / co(n)s(ulibus) v(otum) l(ibens) m(erito) p(osuit)","I O M s P Ael Fuscinus mil leg I Ad bf cos Imp L Sept Severo Pert Aug et Albi Caes cos v l m p","Iovi Optimo Maximo sacrum Publius Aelius Fuscinus miles legionis I Adiutricis beneficiarius consularis Imperatore Lucio Septimio Severo Pertinaci Augusto et Albino Caesare consulibus votum libens merito posuit","lapis",NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054628",NA,NA,"194 to 194"
"544",3078,3078,"EDCS-29900107","CIL 03, 13848 = ILJug-03, 01692 = AE 2009, 01007","Dalmatia","Pljevlja / Komini / Municipium Splonistarum",201,300,201,300,"tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / C(o)hort(ali) / Aur(elius) La/vius ex / v(oto) l(ibens) p(osuit)","I O M Chort Aur Lavius ex v l p","Iovi Optimo Maximo Cohortali Aurelius Lavius ex voto libens posuit","lapis",NA,43.3565611,19.3584715,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033993;bu_AE%26bibl_volume=2009%26bibl_subvolume=%26bibl_insc=1007",NA,NA,"201 to 300"
